zipcode,GEOID10,latitude,longitude
48554,48554,42.97587774,-83.790742
27201,27201,36.0342348,-79.4848141
27203,27203,35.73222321,-79.7892907
27205,27205,35.63956441,-79.8509159
27207,27207,35.60548328,-79.3930423
27208,27208,35.56283653,-79.5429656
27209,27209,35.34314888,-79.750791
27212,27212,36.46058893,-79.2806231
27214,27214,36.20617098,-79.768356
27214,27214,36.21259261,-79.6777665
27215,27215,36.03177469,-79.4889003
27217,27217,36.19272157,-79.3833265
27229,27229,35.18011923,-79.6819418
27229,27229,35.25058897,-79.7981001
27231,27231,36.20297133,-79.1697814
27233,27233,35.88705993,-79.6995627
27235,27235,36.09525844,-80.0089633
27239,27239,35.60758361,-80.0895956
27242,27242,35.33056462,-79.639766
27243,27243,36.07803478,-79.1949587
27244,27244,36.10887982,-79.4792048
27244,27244,36.21029863,-79.4877999
27248,27248,35.78778807,-79.7096795
27249,27249,36.15738574,-79.581893
27252,27252,35.56419072,-79.3495042
27253,27253,35.96165611,-79.3454475
27258,27258,36.03629034,-79.3260394
27260,27260,35.9539805,-79.9883402
27262,27262,35.96233503,-80.038397
27263,27263,35.88057009,-79.9270502
27263,27263,35.90934074,-79.9379859
27265,27265,36.00958773,-80.0305353
27278,27278,36.08601973,-79.0861697
27281,27281,35.18611077,-79.6267417
27282,27282,36.01513022,-79.8983907
27282,27282,36.01561955,-79.901917
27282,27282,36.03709257,-79.9013665
27282,27282,36.01253908,-79.9573683
27282,27282,36.0042959,-79.9496871
27282,27282,35.99509093,-79.9276569
27283,27283,35.95195352,-79.637221
27284,27284,36.1184588,-80.0773862
27288,27288,36.49907411,-79.7465836
27291,27291,36.40203946,-79.1660553
27292,27292,35.73451198,-80.2092436
27295,27295,35.96214851,-80.2201035
27295,27295,35.86835307,-80.3151259
27298,27298,35.80047294,-79.5895337
27298,27298,35.7841801,-79.6349909
27298,27298,35.89255061,-79.563068
27299,27299,35.75216662,-80.3859387
27301,27301,36.07194049,-79.6335108
27301,27301,36.11385337,-79.6668758
27302,27302,36.14036744,-79.2643605
43529,43529,41.18760025,-83.7816165
43531,43531,41.63504413,-84.495666
43532,43532,41.45515797,-83.9743043
43533,43533,41.69141501,-84.0824825
43534,43534,41.35557393,-83.9300445
43535,43535,41.30727767,-84.0220408
43536,43536,41.30980318,-84.6328929
43537,43537,41.57466168,-83.6855175
43540,43540,41.69562949,-83.9413075
43541,43541,41.30075532,-83.829536
43542,43542,41.56678322,-83.7643637
43542,43542,41.56194543,-83.8176728
43543,43543,41.60566646,-84.6336986
43545,43545,41.38949942,-84.1223828
43545,43545,41.44474791,-84.2800435
43547,43547,41.49216024,-83.8763158
43548,43548,41.18532644,-84.1751145
43549,43549,41.37447939,-84.5173542
43551,43551,41.47752447,-83.5972052
43551,43551,41.52152128,-83.571274
43553,43553,41.53122655,-84.2288387
43554,43554,41.63120705,-84.494827
43554,43554,41.66029528,-84.5581093
43555,43555,41.43412936,-84.2543219
43556,43556,41.30606711,-84.5699125
43557,43557,41.4840943,-84.3962051
43558,43558,41.59283581,-83.878363
43560,43560,41.70108059,-83.738038
43565,43565,41.41997085,-83.7401071
43566,43566,41.49587066,-83.7586656
43567,43567,41.57568904,-84.1540744
84401,84401,41.21868855,-112.038162
73145,73145,35.41909036,-97.3940394
73149,73149,35.38940323,-97.4893258
71960,71960,34.47901407,-93.7089647
73150,73150,35.4009064,-97.3327226
73151,73151,35.5675787,-97.4110932
71961,71961,34.59804675,-93.8405897
84403,84403,41.19445072,-111.902562
71962,71962,34.03345228,-93.3263141
71964,71964,34.42297936,-93.2434748
73159,73159,35.39010268,-97.5767903
71965,71965,34.66557155,-93.7426754
71968,71968,34.52730643,-93.2973035
71969,71969,34.66610045,-93.6322262
71970,71970,34.66454865,-93.4915825
71971,71971,34.30389574,-94.037234
71972,71972,34.38665621,-94.2714734
73160,73160,35.33208666,-97.4754256
71973,71973,34.29961226,-94.3172061
71998,71998,34.125558,-93.0517927
71998,71998,34.12616728,-93.055759
71999,71999,34.12745835,-93.0590668
84404,84404,41.27065468,-112.11645
72001,72001,35.06641225,-92.8793112
73162,73162,35.58110802,-97.6414436
94508,94508,38.57677603,-122.444217
94509,94509,37.99676481,-121.812647
94510,94510,38.09401253,-122.132005
94511,94511,38.02913452,-121.640679
94512,94512,38.13280743,-121.838225
94513,94513,37.92336992,-121.675078
94514,94514,37.82538495,-121.623529
94515,94515,38.62484065,-122.618634
94516,94516,37.83390156,-122.165034
94517,94517,37.89022525,-121.878393
94518,94518,37.95036909,-122.022046
94519,94519,37.98844962,-122.012968
94520,94520,37.99545134,-122.040649
94521,94521,37.95601022,-121.956188
94523,94523,37.95413302,-122.07614
94525,94525,38.05278915,-122.231305
94526,94526,37.81442783,-121.991537
94528,94528,37.8456012,-121.950611
94530,94530,37.92156112,-122.298336
94531,94531,37.96576711,-121.775818
94533,94533,38.2805804,-122.006748
94534,94534,38.24227436,-122.131416
94535,94535,38.28469269,-121.932692
94536,94536,37.55946381,-121.969288
94536,94536,37.57132333,-121.985381
94538,94538,37.5062047,-121.963601
94539,94539,37.51690561,-121.911757
94541,94541,37.67430154,-122.085137
48819,48819,42.54640751,-84.2854359
39571,39571,30.41541194,-89.2817748
42461,42461,37.79353352,-87.9107224
39572,39572,30.2508053,-89.6011343
42462,42462,37.74088556,-87.8007194
42463,42463,37.47517559,-87.8716375
48820,48820,42.86303037,-84.5928918
42464,42464,37.18151222,-87.3670437
48821,48821,42.63938974,-84.6470853
48822,48822,42.83333237,-84.7606786
39573,39573,30.72713429,-89.0923246
42501,42501,37.00183922,-84.6183409
42501,42501,37.06174891,-84.4497923
39574,39574,30.60747964,-89.0900223
48823,48823,42.71558863,-84.4600302
48823,48823,42.76216946,-84.453787
48825,48825,42.72702418,-84.4808927
39576,39576,30.28888813,-89.3838113
42503,42503,37.15662619,-84.5247767
42516,42516,37.23548619,-84.7720494
42516,42516,37.19199163,-84.8063512
42518,42518,36.93454692,-84.6330012
48827,48827,42.50911203,-84.6597933
42519,42519,36.93931637,-84.5357137
39577,39577,30.90610941,-89.076385
48829,48829,43.40120696,-85.0202053
42528,42528,37.18414482,-85.0140629
42533,42533,37.0628039,-84.5988688
42533,42533,37.06764479,-84.5927866
48831,48831,43.10287313,-84.3716486
48832,48832,43.41469298,-84.7801349
39581,39581,30.34524409,-88.5293889
39581,39581,30.35736835,-88.4890337
39581,39581,30.36489795,-88.5681994
48834,48834,43.13225389,-85.0294804
42539,42539,37.30378614,-84.9538597
42541,42541,37.37150023,-84.7976674
48835,48835,43.02829995,-84.7468505
48836,48836,42.67079287,-84.0746455
